id,title,authors,year,venue,search_string,v1_decision,v1_reason
97,An exploratory study on the usage of gherkin features in open-source projects,"Chandorkar, Adwait; Patkar, Nitish; Di Sorbo, Andrea; Nierstrasz, Oscar",2022,"2022 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)","(""automated testing"") AND (""generative AI"")",INCLUDE,
98,AI-Enhanced Test Case Generation and Prioritization Framework Using RNNs and LSTMs in Behavior-Driven Development (BDD),"Mahendran, A.; Chilambarasan, N. R.",2024,Preprint,"(""automated testing"") AND (""generative AI"")",UNSURE,"Cần xem thêm: AI-Enhanced test generation với RNN/LSTM trong BDD, preprint — cần verify IC3 (cited by peer-reviewed?)"
99,"Testing Reactive Systems Using Behavioural Programming, a Model Centric Approach","Weiss, Yeshayahu",2021,Ben-Gurion University,"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC4: API testing framework với Cucumber — test execution, không phải generation"
100,Structuring Reusable API Testing Frameworks with Cucumber-BDD and REST Assured,"Kasaram, Chiranjeevulu Reddy",2023,International Journal of Advanced Research in Computer Science & Technology (IJARCST),"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC5: không rõ venue, best practices paper — không có thực nghiệm"
101,Best Practices for Implementing Test-Driven Development (TDD) and Behavior-Driven Development (BDD) in Continuous Deployment Environments,"Paul, Charles",2024,N/A,"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: test automation DCS interface — không liên quan LLM/Gherkin
102,Test Automation of DCS Controller’s Communication Interface,"Srikar, Adluri; Nadig, Girish; Alawani, Yogesh; TK, Sunil Kumar",2023,2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT),"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC4: composability BDD tests — test execution/structure, không phải generation"
103,On the Composability of Behavior Driven Acceptance Tests,"Tuglular, Tugkan",2021,presented at the The Seventh International Conference on Advances and Trends in Software Engineering (SOFTENG 2021),"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC4: RL agent cho web UI testing — test execution, không phải LLM test generation"
104,An Autonomous RL Agent Methodology for Dynamic Web UI Testing in a BDD Framework,"Mughal, Ali Hassaan",2025,EAI Endorsed Transactions on AI and Robotics,"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC4: RL agent web UI testing — test execution, không phải LLM test generation"
105,Semantic-Contextual Automation of Scriptless BDD Testing for Intelligent Test Coverage Enhancement,"Murugan, S. Senthil; Balamurugan, M.",2025,"2025 6th International Conference on Communication, Computing & Industry 6.0 (C2I6)","(""automated testing"") AND (""generative AI"")",UNSURE,"Cần xem thêm: scriptless BDD testing, C2I6 conference — cần verify đây là test generation hay execution"
106,A Comparative Study on the Impact of Test-Driven Development (TDD) and Behavior-Driven Development (BDD) on Enterprise Software Delivery Effectiveness,"Cui, Jun",2024,Idaho State University,"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: advanced techniques overview — không phải test generation bằng LLM
107,Advanced Techniques in Automated Software Testing: A Comprehensive Overview,"Joseph, Richard",2023 ,International Journal of Scientific Research in Engineering and Management (IJSREM),"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: traceability requirements/test cases — không phải test generation
108,Maintaining Requirements and Test Cases Traceability in an Agile Environment,"Vieira, Lucas; Moraes, Regina",2025,Workshop de Testes e Tolerância a Falhas (WTF),"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: requirements/test traceability — không phải test generation
109,LLM4Fin: Fully Automating LLM-Powered Test Case Generation for FinTech Software Acceptance Testing,"Xue, Zhiyi; Li, Liangguo; Tian, Senyue; Chen, Xiaohong; Li, Pingping; Chen, Liangyu; Jiang, Tingting; Zhang, Min",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",INCLUDE,
110,AI-Driven Prompt Templates for User Acceptance Test Case Generation,"Sisomboon, Wantana; Kaewyotha, Jakkrit; Dansakulcharoenkit, Prathan; Songpan, Wararat",2025,Data Science and Artificial Intelligence,"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",INCLUDE,
111,Exploring LLMs Impact on Student-Created User Stories and Acceptance Testing in Software Development,"Brockenbrough, Allan; Feild, Henry; Salinas, Dominic",2025,Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 2,"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",INCLUDE,
112,Acceptance test generation with large language models: An industrial case study,"Ferreira, Margarida; Viegas, Luis; Faria, Joao Pascoal; Lima, Bruno",2025,2025 IEEE/ACM International Conference on Automation of Software Test (AST),"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",INCLUDE,
113,User Acceptance Test Case Generation Using LLMs,"Varpe, Siddhesh; Mittal, Uttam; Bhatia, Rajesh Kumar",2025,2025 IEEE International Conference on Collaborative Advances in Software and COmputiNg (CASCON),"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",INCLUDE,
114,XUAT-Copilot: Multi-Agent Collaborative System for Automated User Acceptance Testing with Large Language Model,"Wang, Zhitao; Wang, Wei; Li, Zirao; Wang, Long; Yi, Can; Xu, Xinjie; Cao, Luyang; Su, Hanjing; Chen, Shouzhi; Zhou, Jun",2024,Association for Computing Machinery,"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",INCLUDE,
115,Comprehensive evaluation and insights into the use of large language models in the automation of behavior-driven development acceptance test formulation,"Karpurapu, Shanthi; Myneni, Sravanthy; Nettur, Unnati; Gajja, Likhit Sagar; Burke, Dave; Stiehm, Tom; Payne, Jeffery",2024,IEEE Access,"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",INCLUDE,
116,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,"Fonseca, Pedro Luís; Lima, Bruno; Faria, João Pascoal",2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",INCLUDE,
117,AGORA: An Approach for Generating Acceptance Test Cases from Use Cases,"De Vito, Gabriele; Vassallo, Gabriele; Palomba, Fabio; Ferrucci, Filomena",2024,2024 50th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",INCLUDE,
118,AI-Driven Acceptance Testing: first insights exploring the educational potential for test analysts,"Maia, Caio Jordan De Lima; Aguiar, Yuska Paola Costa",2024,Proceedings of the XXIII Brazilian Symposium on Software Quality,"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",EXCLUDE,"EC5: thesis Stockholm — management study, không có thực nghiệm test generation số liệu"
119,An Ambidextrous Approach to User Acceptance Testing Management and Automation: How software customers can optimize their processes to explore new technology as well as current performance to improve the effectiveness of user acceptance testing,"Edin, Anton; Qorbanzada, Mariam",2022,"Stockholm, Sweden","(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",EXCLUDE,"EC5: thesis Stockholm — management study, không có thực nghiệm số liệu"
120,Evaluating Generative AI's Applicability in Software Testing: User study and quality evaluation of unit test generation,"Batra, Sagar; Danielsson, Oskar",2025,Linköping University,"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",UNSURE,"Cần xem thêm: GenAI unit test generation evaluation, Linköping University thesis — cần verify IC3 và IC5"
121,Multi-Modal Requirements Data-based Acceptance Criteria Generation using LLMs,"Wang, Fanyu; Arora, Chetan; Liu, Yonghui; Huang, Kaicheng; Tantithamthavorn, Chakkrit; Aleti, Aldeida; Sambathkumar, Dishan; Lo, David",2025,Monash University,"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",EXCLUDE,"EC4: thesis Tampere — high-level overview LLM in testing, không focus test generation"
122,LARGE LANGUAGE MODELS IN HIGH-LEVEL SOFTWARE TESTING,"Grönberg, Toni",2026,Tampere University,"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",EXCLUDE,"EC5: không rõ venue — methodologies testing LLM performance, không phải LLM tạo test"
123,Methodologies for Testing the Performance and Reliability of Large Language Models in Real-World AI Applications,"Agoro, H.; Llorient, Mark",2025,N/A,"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",EXCLUDE,"EC4: document comparator cho acceptance testing — tool, không phải LLM test generation"
124,SmartDocComparator - A Template Guided Smart Document Comparator for Acceptance Testing,"Chittimalli, Pavan Kumar; Prakash, Chandan; Balla, Rathan Veer; Naik, Ravindra",2026,Proceedings of the 19th Innovations in Software Engineering Conference,"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",EXCLUDE,EC4: performance testing với GenAI — không phải test case generation
125,Overview of the Application of Generative AI in Software Performance Testing,"Verkholomova, Alina; Nazaruka, Erika",2025,2025 66th International Scientific Conference on Information Technology and Management Science of Riga Technical University (ITMS),"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",EXCLUDE,EC4: tạo test code từ acceptance test cases đã có — gần với test execution automation hơn generation
126,Automatic test code generation from acceptance test cases for large-scale software products,"Jukanti, Kuvalaya Datta; Kumar, Prashant",2022,University of Gothenburg,"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",EXCLUDE,EC4: tạo test code từ acceptance test cases có sẵn — test execution automation
127,Quality Evaluation of LLM-based Generated Test Case: A Literature Review,"Setiani, Novi",2025,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),"(""BDD"" OR ""behavior driven development"" OR Gherkin) AND (testing OR automation)",INCLUDE,
